iteration,global_sparsity,layer_name,zero_frac,zeros,total
5,0.20062035798639766,layers.13.conv3,0.25625,23616,92160
5,0.20062035798639766,layers.14.conv1,0.0,0,153600
5,0.20062035798639766,layers.14.conv2,0.0,0,8640
5,0.20062035798639766,layers.14.conv3,0.43125,66240,153600
5,0.20062035798639766,layers.15.conv1,0.0,0,153600
5,0.20062035798639766,layers.15.conv2,0.0,0,8640
5,0.20062035798639766,layers.15.conv3,0.3125,48000,153600
5,0.20062035798639766,layers.16.conv1,0.0,0,153600
5,0.20062035798639766,layers.16.conv2,0.0,0,8640
5,0.20062035798639766,layers.16.conv3,0.578125,177600,307200
5,0.20062035798639766,layers.16.shortcut.0,0.0,0,51200
5,0.20062035798639766,conv2,0.0984375,40320,409600
6,0.23660396687629834,conv1,0.0,0,864
6,0.23660396687629834,layers.0.conv1,0.0,0,1024
6,0.23660396687629834,layers.0.conv2,0.0,0,288
6,0.23660396687629834,layers.0.conv3,0.625,320,512
6,0.23660396687629834,layers.0.shortcut.0,0.0,0,512
6,0.23660396687629834,layers.1.conv1,0.0,0,1536
6,0.23660396687629834,layers.1.conv2,0.0,0,864
6,0.23660396687629834,layers.1.conv3,0.125,288,2304
6,0.23660396687629834,layers.1.shortcut.0,0.0,0,384
6,0.23660396687629834,layers.2.conv1,0.0,0,3456
6,0.23660396687629834,layers.2.conv2,0.0,0,1296
6,0.23660396687629834,layers.2.conv3,0.16666666666666666,576,3456
6,0.23660396687629834,layers.3.conv1,0.0,0,3456
6,0.23660396687629834,layers.3.conv2,0.0,0,1296
6,0.23660396687629834,layers.3.conv3,0.0,0,4608
6,0.23660396687629834,layers.4.conv1,0.0,0,6144
6,0.23660396687629834,layers.4.conv2,0.0,0,1728
6,0.23660396687629834,layers.4.conv3,0.28125,1728,6144
6,0.23660396687629834,layers.5.conv1,0.0,0,6144
6,0.23660396687629834,layers.5.conv2,0.0,0,1728
6,0.23660396687629834,layers.5.conv3,0.21875,1344,6144
6,0.23660396687629834,layers.6.conv1,0.0,0,6144
6,0.23660396687629834,layers.6.conv2,0.0,0,1728
6,0.23660396687629834,layers.6.conv3,0.0,0,12288
6,0.23660396687629834,layers.7.conv1,0.0,0,24576
6,0.23660396687629834,layers.7.conv2,0.0,0,3456
6,0.23660396687629834,layers.7.conv3,0.28125,6912,24576
6,0.23660396687629834,layers.8.conv1,0.0,0,24576
6,0.23660396687629834,layers.8.conv2,0.0,0,3456
6,0.23660396687629834,layers.8.conv3,0.421875,10368,24576
6,0.23660396687629834,layers.9.conv1,0.0,0,24576
6,0.23660396687629834,layers.9.conv2,0.0,0,3456
6,0.23660396687629834,layers.9.conv3,0.484375,11904,24576
6,0.23660396687629834,layers.10.conv1,0.0,0,24576
6,0.23660396687629834,layers.10.conv2,0.0,0,3456
6,0.23660396687629834,layers.10.conv3,0.4166666666666667,15360,36864
6,0.23660396687629834,layers.10.shortcut.0,0.0,0,6144
6,0.23660396687629834,layers.11.conv1,0.0,0,55296
6,0.23660396687629834,layers.11.conv2,0.0,0,5184
6,0.23660396687629834,layers.11.conv3,0.4791666666666667,26496,55296
6,0.23660396687629834,layers.12.conv1,0.0,0,55296
6,0.23660396687629834,layers.12.conv2,0.0,0,5184
6,0.23660396687629834,layers.12.conv3,0.5,27648,55296
6,0.23660396687629834,layers.13.conv1,0.0,0,55296
6,0.23660396687629834,layers.13.conv2,0.0,0,5184
6,0.23660396687629834,layers.13.conv3,0.3375,31104,92160
6,0.23660396687629834,layers.14.conv1,0.0,0,153600
6,0.23660396687629834,layers.14.conv2,0.0,0,8640
6,0.23660396687629834,layers.14.conv3,0.5,76800,153600
6,0.23660396687629834,layers.15.conv1,0.0,0,153600
6,0.23660396687629834,layers.15.conv2,0.0,0,8640
6,0.23660396687629834,layers.15.conv3,0.33125,50880,153600
6,0.23660396687629834,layers.16.conv1,0.0,0,153600
6,0.23660396687629834,layers.16.conv2,0.0,0,8640
